分段ID,开始时间,结束时间,持续时长min,纳入统计分钟数,冻结风机数,重复风机功率之和MW,风机编号列表,原异常分钟数,修正后异常分钟数,异常分钟数变化量,原异常占比,修正后异常占比,异常占比变化量,原异常程度总和,修正后异常程度总和,异常程度变化量,异常程度下降率,原平均异常程度,修正后平均异常程度,原最大异常程度,修正后最大异常程度,原偏离程度总和,修正后偏离程度总和,偏离程度变化量,偏离程度下降率,原平均偏离程度,修正后平均偏离程度,原最大偏离程度,修正后最大偏离程度,原负损耗分钟数,修正后负损耗分钟数,站端功率重复硬异常分钟数,物理越限硬异常分钟数,风机联合重复标记分钟数,是否异常分钟减少,是否异常程度下降,是否偏离程度下降,是否全部修正为正常,重复详情
125,2024-04-14 15:41:00,2024-04-14 16:31:00,51,51,0,0.0,,8,8,0,0.156863,0.156863,0.0,1.522522,1.522522,-0.0,0.0,0.029853,0.029853,0.357409,0.357409,12.334369,12.334369,0.0,-0.0,0.24185,0.24185,0.862519,0.862519,0,0,0.0,0,0,False,True,False,False,
126,2024-04-14 16:32:00,2024-04-14 16:32:00,1,1,17,102.49055,35、36、37、38、39、40、41、47、48、49、50、51、52、53、54、55、56,0,1,1,0.0,1.0,1.0,0.0,14.393803,14.393803,,0.0,14.393803,0.0,14.393803,0.012727,14.965302,14.952575,-1174.839623,0.012727,14.965302,0.012727,14.965302,0,1,0.0,0,1,False,False,False,False,"35[status=5.0,P=4541.87,WS=13.64] 、 36[status=5.0,P=4555.95,WS=13.35] 、 37[status=5.0,P=4495.77,WS=12.89] 、 38[status=5.0,P=4497.05,WS=13.37] 、 39[status=5.0,P=6518.5,WS=14.38] 、 40[status=5.0,P=6507.4,WS=14.91] 、 41[status=5.0,P=6493.75,WS=13.73] 、 47[status=5.0,P=6486.92,WS=13.08] 、 48[status=5.0,P=6472.4,WS=15.31] 、 49[status=5.0,P=6518.5,WS=14.31] 、 50[status=5.0,P=6484.36,WS=14.42] 、 51[status=5.0,P=6512.53,WS=14.37] 、 52[status=5.0,P=6487.77,WS=14.16] 、 53[status=5.0,P=6495.45,WS=14.19] 、 54[status=5.0,P=6457.89,WS=14.19] 、 55[status=5.0,P=6482.65,WS=14.05] 、 56[status=5.0,P=6481.79,WS=14.28]"
127,2024-04-14 16:33:00,2024-04-14 16:48:00,16,16,58,300.6155,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,7,16,9,0.4375,1.0,0.5625,2.651703,91642.733,91640.081297,-34558.958966,0.165731,5727.670813,0.980431,5768.5668,10.264763,91642.733,91632.468237,-8926.895497,0.641548,5727.670813,1.59605,5768.5668,0,16,0.0,0,16,False,False,False,False,"1[status=5.0,P=4735.22,WS=14.69] 、 2[status=5.0,P=4285.77,WS=13.35] 、 3[status=5.0,P=4377.96,WS=13.62] 、 4[status=5.0,P=4590.52,WS=13.72] 、 5[status=5.0,P=4521.38,WS=14.2] 、 6[status=5.0,P=4415.1,WS=13.06] 、 7[status=5.0,P=4590.52,WS=13.06] 、 8[status=5.0,P=4508.57,WS=12.73] 、 9[status=5.0,P=4453.51,WS=13.23] 、 10[status=5.0,P=4290.89,WS=12.78] 、 11[status=5.0,P=4475.28,WS=11.96] 、 12[status=5.0,P=4402.29,WS=12.39] 、 13[status=5.0,P=4435.59,WS=14.78] 、 14[status=5.0,P=4585.4,WS=12.23] 、 15[status=5.0,P=4522.66,WS=12.75] 、 16[status=5.0,P=4585.4,WS=11.25] 、 17[status=5.0,P=4772.35,WS=11.9] 、 18[status=5.0,P=4484.24,WS=12.2] 、 19[status=5.0,P=4385.65,WS=15.18] 、 20[status=5.0,P=4506.01,WS=14.52] 、 21[status=5.0,P=4475.28,WS=12.87] 、 22[status=5.0,P=4506.01,WS=14.45] 、 23[status=5.0,P=4462.48,WS=12.48] 、 24[status=5.0,P=4504.73,WS=13.26] 、 25[status=5.0,P=4427.9,WS=12.11] 、 26[status=5.0,P=4521.38,WS=13.69] 、 27[status=5.0,P=4541.87,WS=14.18] 、 28[status=5.0,P=4468.88,WS=13.56] 、 29[status=5.0,P=4613.57,WS=13.44] 、 30[status=5.0,P=4511.13,WS=14.13] 、 31[status=5.0,P=4543.15,WS=13.97] 、 32[status=5.0,P=4482.96,WS=14.3] 、 33[status=5.0,P=4527.78,WS=13.96] 、 34[status=5.0,P=4466.32,WS=13.69] 、 35[status=5.0,P=4541.87,WS=13.64] 、 36[status=5.0,P=4555.95,WS=13.35] 、 37[status=5.0,P=4495.77,WS=12.89] 、 38[status=5.0,P=4497.05,WS=13.37] 、 39[status=5.0,P=6518.5,WS=14.38] 、 40[status=5.0,P=6507.4,WS=14.91] 、 41[status=5.0,P=6493.75,WS=13.73] 、 42[status=5.0,P=6396.43,WS=13.56] 、 43[status=5.0,P=6448.5,WS=13.21] 、 44[status=5.0,P=6469.84,WS=13.41] 、 45[status=5.0,P=6461.31,WS=12.76] 、 46[status=5.0,P=6433.14,WS=12.95] 、 47[status=5.0,P=6486.92,WS=13.08] 、 48[status=5.0,P=6472.4,WS=15.31] 、 49[status=5.0,P=6518.5,WS=14.31] 、 50[status=5.0,P=6484.36,WS=14.42] 、 51[status=5.0,P=6512.53,WS=14.37] 、 52[status=5.0,P=6487.77,WS=14.16] 、 53[status=5.0,P=6495.45,WS=14.19] 、 54[status=5.0,P=6457.89,WS=14.19] 、 55[status=5.0,P=6482.65,WS=14.05] 、 56[status=5.0,P=6481.79,WS=14.28] 、 57[status=5.0,P=6496.31,WS=14.24] 、 58[status=5.0,P=6441.67,WS=14.32]"
128,2024-04-14 16:49:00,2024-04-15 14:23:00,1295,1295,0,0.0,,104,104,0,0.080309,0.080309,0.0,15.679458,15.679458,0.0,-0.0,0.012108,0.012108,1.071841,1.071841,267.609027,267.609027,-0.0,0.0,0.206648,0.206648,1.68746,1.68746,1,1,0.0,0,0,False,False,True,False,
129,2024-04-15 14:24:00,2024-04-15 14:27:00,4,4,5,0.24201,1、19、20、27、28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,4,False,False,False,False,"1[status=5.0,P=7.68,WS=2.95] 、 19[status=5.0,P=101.16,WS=3.11] 、 20[status=5.0,P=74.27,WS=3.0] 、 27[status=5.0,P=55.06,WS=3.14] 、 28[status=5.0,P=3.84,WS=2.77]"
130,2024-04-15 14:28:00,2024-04-16 09:17:00,1130,1130,0,0.0,,18,18,0,0.015929,0.015929,0.0,2.47586,2.47586,0.0,-0.0,0.002191,0.002191,0.626172,0.626172,121.292908,121.292908,-0.0,0.0,0.107339,0.107339,1.31104,1.31104,0,0,0.0,0,0,False,False,True,False,
131,2024-04-16 09:18:00,2024-04-16 09:30:00,13,13,1,0.00014,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,13,False,False,False,False,"25[status=6.0,P=0.14,WS=3.09]"
132,2024-04-16 09:31:00,2024-04-22 14:29:00,8939,8939,0,0.0,,582,582,0,0.065108,0.065108,0.0,125.329939,125.329939,0.0,-0.0,0.014021,0.014021,2.16247,2.16247,1458.288048,1458.288048,0.0,-0.0,0.163138,0.163138,2.702093,2.702093,21,21,0.0,0,0,False,False,False,False,
133,2024-04-22 14:30:00,2024-04-22 14:34:00,5,5,3,0.0589,16、17、18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,5,False,False,False,False,"16[status=5.0,P=46.1,WS=2.84] 、 17[status=5.0,P=5.12,WS=2.84] 、 18[status=5.0,P=7.68,WS=2.76]"
134,2024-04-22 14:35:00,2024-04-22 17:49:00,195,195,0,0.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.073832,0.073832,-0.0,0.0,0.000379,0.000379,0.045717,0.045717,0,0,0.0,0,0,False,False,True,False,
135,2024-04-22 17:50:00,2024-04-22 18:15:00,26,26,1,3e-05,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,26,False,False,False,False,"29[status=6.0,P=0.03,WS=2.07]"
136,2024-04-22 18:16:00,2024-04-23 10:05:00,950,950,0,0.0,,24,24,0,0.025263,0.025263,0.0,8.648539,8.648539,0.0,-0.0,0.009104,0.009104,5.903995,5.903995,87.830352,87.830352,-0.0,0.0,0.092453,0.092453,6.387447,6.387447,1,1,0.0,0,0,False,False,True,False,
137,2024-04-23 10:06:00,2024-04-23 10:12:00,7,7,22,2.22804,1、2、3、4、5、9、12、13、19、20、21、23、24、27、30、31、32、34、35、36、37、38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,7,False,False,False,False,"1[status=5.0,P=52.5,WS=3.29] 、 2[status=5.0,P=128.05,WS=3.26] 、 3[status=5.0,P=97.32,WS=3.11] 、 4[status=5.0,P=46.1,WS=3.37] 、 5[status=5.0,P=14.09,WS=2.77] 、 9[status=5.0,P=60.18,WS=2.99] 、 12[status=5.0,P=256.1,WS=3.74] 、 13[status=5.0,P=60.18,WS=2.92] 、 19[status=5.0,P=90.91,WS=3.01] 、 20[status=5.0,P=215.12,WS=3.82] 、 21[status=5.0,P=128.05,WS=3.87] 、 23[status=5.0,P=33.29,WS=3.27] 、 24[status=5.0,P=79.39,WS=3.31] 、 27[status=5.0,P=90.91,WS=2.97] 、 30[status=5.0,P=166.46,WS=3.34] 、 31[status=5.0,P=256.1,WS=3.85] 、 32[status=5.0,P=156.22,WS=3.45] 、 34[status=5.0,P=71.71,WS=3.4] 、 35[status=5.0,P=37.13,WS=2.86] 、 36[status=5.0,P=29.45,WS=2.72] 、 37[status=5.0,P=101.16,WS=3.12] 、 38[status=5.0,P=57.62,WS=3.33]"
138,2024-04-23 10:13:00,2024-04-24 07:54:00,1302,1301,0,0.0,,121,121,0,0.092934,0.092934,0.0,34.031412,34.031412,-0.0,0.0,0.026158,0.026158,3.871864,3.871864,267.683011,267.683011,0.0,-0.0,0.205752,0.205752,4.376239,4.376239,8,8,0.0,0,0,False,True,False,False,
139,2024-04-24 07:55:00,2024-04-24 12:50:00,296,296,1,0.82207,27,130,57,-73,0.439189,0.192568,-0.246622,30.984577,17.583704,-13.400873,0.432501,0.104678,0.059404,1.162239,1.329653,139.684483,89.104356,-50.580127,0.362103,0.471907,0.301028,1.649405,1.797397,1,8,0.0,0,296,True,True,True,False,"27[status=5.0,P=822.07,WS=5.29]"
140,2024-04-24 12:51:00,2024-04-25 14:38:00,1548,1540,0,0.0,,25,25,0,0.01615,0.01615,0.0,83.318425,83.318425,0.0,-0.0,0.054103,0.054103,16.665994,16.665994,253.65624,253.65624,-0.0,0.0,0.164712,0.164712,17.138735,17.138735,6,6,0.0,0,0,False,False,True,False,
141,2024-04-25 14:39:00,2024-04-25 17:28:00,170,170,1,0.00022,16,11,11,0,0.064706,0.064706,0.0,1.302267,1.302362,9.5e-05,-7.3e-05,0.00766,0.007661,0.421106,0.421123,28.249098,28.249494,0.000395,-1.4e-05,0.166171,0.166173,0.940943,0.940958,0,0,0.0,0,170,False,False,False,False,"16[status=6.0,P=0.22,WS=6.79]"
142,2024-04-25 17:29:00,2024-05-06 16:45:00,15797,15735,0,0.0,,1218,1218,0,0.077103,0.077103,0.0,274.829787,274.829787,0.0,-0.0,0.017466,0.017466,5.977874,5.977874,3077.87376,3077.87376,0.0,-0.0,0.195607,0.195607,6.482405,6.482405,48,48,8.0,0,0,False,False,False,False,
143,2024-05-06 16:46:00,2024-05-06 16:50:00,5,4,57,102.6664,2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,4,4,0,0.8,0.8,0.0,0.0,8007.4632,8007.4632,,0.0,2001.8658,0.0,2001.8658,0.082213,8007.4632,8007.380987,-97398.340827,0.020553,2001.8658,0.020553,2001.8658,0,4,4.0,0,4,False,False,False,False,"2[status=5.0,P=1993.71,WS=7.19] 、 3[status=5.0,P=1888.71,WS=7.1] 、 4[status=5.0,P=1591.64,WS=6.65] 、 5[status=5.0,P=2299.74,WS=7.46] 、 6[status=5.0,P=1409.81,WS=6.42] 、 7[status=5.0,P=2238.28,WS=6.42] 、 8[status=5.0,P=2079.5,WS=7.27] 、 9[status=5.0,P=1517.37,WS=6.59] 、 10[status=5.0,P=2204.99,WS=7.46] 、 11[status=5.0,P=1677.43,WS=6.75] 、 12[status=5.0,P=2181.94,WS=7.28] 、 13[status=5.0,P=1591.64,WS=6.71] 、 14[status=5.0,P=1749.14,WS=7.05] 、 15[status=5.0,P=1994.99,WS=7.36] 、 16[status=5.0,P=2007.79,WS=7.4] 、 17[status=5.0,P=2432.91,WS=7.56] 、 18[status=5.0,P=2074.38,WS=7.35] 、 19[status=5.0,P=1630.05,WS=6.85] 、 20[status=5.0,P=1713.28,WS=6.85] 、 21[status=5.0,P=1504.57,WS=7.1] 、 22[status=5.0,P=1505.85,WS=8.39] 、 23[status=5.0,P=1829.81,WS=6.77] 、 24[status=5.0,P=2053.89,WS=7.31] 、 25[status=5.0,P=1064.08,WS=5.7] 、 26[status=5.0,P=2760.72,WS=8.0] 、 27[status=5.0,P=1577.55,WS=6.67] 、 28[status=5.0,P=1576.27,WS=6.71] 、 29[status=5.0,P=1102.49,WS=5.83] 、 30[status=5.0,P=1750.42,WS=6.96] 、 31[status=5.0,P=1016.7,WS=5.64] 、 32[status=5.0,P=1624.93,WS=6.69] 、 33[status=5.0,P=1823.41,WS=7.08] 、 34[status=5.0,P=1436.7,WS=6.47] 、 35[status=5.0,P=2050.05,WS=7.11] 、 36[status=5.0,P=2096.15,WS=7.28] 、 37[status=5.0,P=2850.35,WS=8.1] 、 38[status=5.0,P=1487.92,WS=6.63] 、 39[status=5.0,P=1194.26,WS=5.21] 、 40[status=5.0,P=1313.77,WS=6.04] 、 41[status=5.0,P=1254.87,WS=6.09] 、 42[status=5.0,P=2372.3,WS=7.63] 、 43[status=5.0,P=2267.31,WS=7.3] 、 44[status=5.0,P=2524.25,WS=7.12] 、 45[status=5.0,P=1592.92,WS=6.75] 、 46[status=5.0,P=2029.99,WS=7.23] 、 47[status=5.0,P=2826.45,WS=7.41] 、 48[status=5.0,P=2289.5,WS=7.56] 、 49[status=5.0,P=1528.04,WS=6.34] 、 50[status=5.0,P=723.04,WS=5.45] 、 51[status=5.0,P=1199.38,WS=5.14] 、 52[status=5.0,P=1290.72,WS=6.53] 、 53[status=5.0,P=1987.31,WS=7.16] 、 54[status=5.0,P=2072.67,WS=6.74] 、 55[status=5.0,P=2101.7,WS=6.98] 、 56[status=5.0,P=1425.6,WS=6.66] 、 57[status=5.0,P=1096.95,WS=6.2] 、 58[status=5.0,P=2186.21,WS=8.02]"
144,2024-05-06 16:51:00,2024-05-07 15:24:00,1354,1354,0,0.0,,56,56,0,0.041359,0.041359,0.0,9.291529,9.291529,-0.0,0.0,0.006862,0.006862,0.581854,0.581854,223.662513,223.662513,-0.0,0.0,0.165186,0.165186,1.090796,1.090796,0,0,0.0,0,0,False,True,True,False,
145,2024-05-07 15:25:00,2024-05-07 15:28:00,4,4,31,2.75437,2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、18、19、21、23、24、25、26、27、28、29、32、36、37、38、46、47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,4,False,False,False,False,"2[status=5.0,P=183.11,WS=3.64] 、 3[status=5.0,P=171.58,WS=3.51] 、 4[status=5.0,P=198.47,WS=3.81] 、 5[status=5.0,P=189.51,WS=3.61] 、 6[status=5.0,P=88.35,WS=2.82] 、 7[status=5.0,P=96.04,WS=2.82] 、 8[status=5.0,P=51.22,WS=2.83] 、 9[status=5.0,P=87.07,WS=3.19] 、 10[status=5.0,P=130.61,WS=2.98] 、 11[status=5.0,P=176.71,WS=3.48] 、 12[status=5.0,P=111.4,WS=3.14] 、 13[status=5.0,P=72.99,WS=2.61] 、 14[status=5.0,P=128.05,WS=3.19] 、 15[status=5.0,P=143.41,WS=3.39] 、 16[status=5.0,P=2.56,WS=3.02] 、 18[status=5.0,P=25.61,WS=2.93] 、 19[status=5.0,P=144.69,WS=3.23] 、 21[status=5.0,P=3.84,WS=2.47] 、 23[status=5.0,P=37.13,WS=2.82] 、 24[status=5.0,P=25.61,WS=2.45] 、 25[status=5.0,P=70.43,WS=2.92] 、 26[status=6.0,P=0.09,WS=3.55] 、 27[status=5.0,P=115.24,WS=3.16] 、 28[status=5.0,P=90.91,WS=3.01] 、 29[status=5.0,P=11.52,WS=2.4] 、 32[status=5.0,P=34.57,WS=3.12] 、 36[status=5.0,P=47.38,WS=3.01] 、 37[status=5.0,P=65.3,WS=2.89] 、 38[status=5.0,P=112.68,WS=3.19] 、 46[status=5.0,P=23.05,WS=3.86] 、 47[status=5.0,P=115.24,WS=3.41]"
146,2024-05-07 15:29:00,2024-05-08 17:07:00,1539,1537,0,0.0,,77,77,0,0.050032,0.050032,0.0,8.859248,8.859248,-0.0,0.0,0.005764,0.005764,0.593559,0.593559,276.465511,276.465511,-0.0,0.0,0.179873,0.179873,1.112279,1.112279,0,0,0.0,0,0,False,True,True,False,
147,2024-05-08 17:08:00,2024-05-08 19:34:00,147,147,1,0.00015,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,147,False,False,False,False,"26[status=6.0,P=0.15,WS=1.89]"
148,2024-05-08 19:35:00,2024-05-13 11:13:00,6699,6699,0,0.0,,239,239,0,0.035677,0.035677,0.0,35.483104,35.483104,-0.0,0.0,0.005297,0.005297,1.184236,1.184236,1017.647159,1017.647159,-0.0,0.0,0.15191,0.15191,1.672184,1.672184,0,0,0.0,0,0,False,True,True,False,
149,2024-05-13 11:14:00,2024-05-13 11:18:00,5,5,1,0.00033,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,5,False,False,False,False,"26[status=6.0,P=0.33,WS=1.92]"
150,2024-05-13 11:19:00,2024-05-13 12:10:00,52,52,0,0.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0,False,False,False,False,
151,2024-05-13 12:11:00,2024-05-13 12:20:00,10,10,1,8e-05,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,10,False,False,False,False,"8[status=6.0,P=0.08,WS=0.0]"
152,2024-05-13 12:21:00,2024-05-23 10:34:00,14294,14293,0,0.0,,1070,1070,0,0.074857,0.074857,0.0,193.129072,193.129072,0.0,-0.0,0.013512,0.013512,6.850028,6.850028,3042.233399,3042.233399,-0.0,0.0,0.212848,0.212848,7.369196,7.369196,8,8,0.0,0,0,False,False,True,False,
153,2024-05-23 10:35:00,2024-05-23 10:38:00,4,4,14,0.77128,1、2、9、12、15、19、20、21、24、27、28、29、30、46,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,4,False,False,False,False,"1[status=5.0,P=28.17,WS=2.86] 、 2[status=5.0,P=17.93,WS=2.36] 、 9[status=5.0,P=10.24,WS=2.59] 、 12[status=5.0,P=72.99,WS=2.5] 、 15[status=5.0,P=52.5,WS=3.04] 、 19[status=5.0,P=151.1,WS=3.28] 、 20[status=5.0,P=38.41,WS=2.4] 、 21[status=5.0,P=1.28,WS=2.15] 、 24[status=5.0,P=19.21,WS=2.77] 、 27[status=5.0,P=186.95,WS=3.48] 、 28[status=5.0,P=12.8,WS=2.69] 、 29[status=5.0,P=17.93,WS=2.44] 、 30[status=5.0,P=6.4,WS=2.21] 、 46[status=5.0,P=155.37,WS=3.21]"
154,2024-05-23 10:39:00,2024-05-23 11:09:00,31,31,0,0.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0,False,False,False,False,
155,2024-05-23 11:10:00,2024-05-23 13:41:00,152,152,1,0.04997,32,83,83,0,0.546053,0.546053,0.0,2899.671132,2970.350212,70.679081,-0.024375,19.076784,19.541778,114.380108,114.390102,2946.495278,3017.202279,70.707,-0.023997,19.384837,19.850015,114.936332,114.936332,57,58,0.0,0,152,False,False,False,False,"32[status=6.0,P=49.97,WS=18.55]"
156,2024-05-23 13:42:00,2024-05-24 15:41:00,1560,1560,0,0.0,,37,37,0,0.023718,0.023718,0.0,4.651259,4.651259,-0.0,0.0,0.002982,0.002982,0.566666,0.566666,218.946547,218.946547,-0.0,0.0,0.14035,0.14035,1.062327,1.062327,0,0,0.0,0,0,False,True,True,False,
157,2024-05-24 15:42:00,2024-05-24 15:54:00,13,13,1,1e-05,13,1,1,0,0.076923,0.076923,0.0,0.076422,0.076428,7e-06,-8.6e-05,0.005879,0.005879,0.076422,0.076428,2.555197,2.555227,3e-05,-1.2e-05,0.196554,0.196556,0.597113,0.597119,0,0,0.0,0,13,False,False,False,False,"13[status=6.0,P=0.01,WS=4.37]"
158,2024-05-24 15:55:00,2024-06-06 14:14:00,18620,18612,0,0.0,,1229,1229,0,0.066004,0.066004,0.0,233.379634,233.379634,0.0,-0.0,0.012539,0.012539,2.731637,2.731637,3251.961547,3251.961547,0.0,-0.0,0.174724,0.174724,3.235785,3.235785,23,23,0.0,0,0,False,False,False,False,
159,2024-06-06 14:15:00,2024-06-06 14:20:00,6,6,11,0.77212,9、10、13、14、15、26、38、40、43、46、47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,6,False,False,False,False,"9[status=5.0,P=161.34,WS=3.24] 、 10[status=5.0,P=32.01,WS=3.34] 、 13[status=5.0,P=88.35,WS=2.7] 、 14[status=5.0,P=119.08,WS=3.29] 、 15[status=5.0,P=113.96,WS=3.23] 、 26[status=5.0,P=29.45,WS=2.73] 、 38[status=5.0,P=7.68,WS=3.28] 、 40[status=5.0,P=22.2,WS=3.1] 、 43[status=5.0,P=154.51,WS=3.62] 、 46[status=5.0,P=11.95,WS=3.39] 、 47[status=5.0,P=31.59,WS=3.67]"
160,2024-06-06 14:21:00,2024-06-07 10:57:00,1237,1237,0,0.0,,134,134,0,0.108327,0.108327,0.0,28.336342,28.336342,-0.0,0.0,0.022907,0.022907,1.028946,1.028946,197.570292,197.570292,0.0,-0.0,0.159717,0.159717,1.500662,1.500662,1,1,0.0,0,0,False,True,False,False,
161,2024-06-07 10:58:00,2024-06-07 11:01:00,4,4,8,0.73243,5、8、11、12、14、15、18、26,1,1,0,0.25,0.25,0.0,36.3941,36.540586,0.146486,-0.004025,9.098525,9.135146,36.3941,36.540586,36.971342,36.971342,-0.0,0.0,9.242836,9.242835,36.971342,36.971342,0,0,0.0,0,4,False,False,True,False,"5[status=5.0,P=107.56,WS=3.07] 、 8[status=5.0,P=171.58,WS=3.38] 、 11[status=5.0,P=175.43,WS=3.86] 、 12[status=5.0,P=71.71,WS=2.73] 、 14[status=5.0,P=87.07,WS=3.32] 、 15[status=5.0,P=64.02,WS=3.01] 、 18[status=5.0,P=39.69,WS=3.17] 、 26[status=5.0,P=15.37,WS=2.56]"
162,2024-06-07 11:02:00,2024-06-07 12:56:00,115,115,0,0.0,,6,6,0,0.052174,0.052174,0.0,1.12411,1.12411,-0.0,0.0,0.009775,0.009775,0.477464,0.477464,7.782292,7.782292,-0.0,0.0,0.067672,0.067672,0.749099,0.749099,0,0,0.0,0,0,False,True,True,False,
163,2024-06-07 12:57:00,2024-06-07 13:01:00,5,5,1,0.36,12,5,5,0,1.0,1.0,0.0,49.434983,48.275634,-1.159349,0.023452,9.886997,9.655127,9.91027,9.6783,52.25324,51.085969,-1.167271,0.022339,10.450648,10.217194,10.47408,10.240525,0,0,0.0,0,5,False,True,True,False,"12[status=0.0,P=360.0,WS=0.0]"
164,2024-06-07 13:02:00,2024-06-07 14:54:00,113,113,0,0.0,,56,56,0,0.495575,0.495575,0.0,397.930095,397.930095,-0.0,0.0,3.521505,3.521505,10.177705,10.177705,446.683376,446.683376,0.0,-0.0,3.95295,3.95295,10.743343,10.743343,0,0,0.0,0,0,False,True,False,False,
165,2024-06-07 14:55:00,2024-06-07 14:58:00,4,4,38,17.55665,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38,1,4,3,0.25,1.0,0.75,0.390848,39.703103,39.312255,-100.582017,0.097712,9.925776,0.390848,10.516204,1.173943,41.488204,40.314261,-34.340905,0.293486,10.372051,0.87935,10.956486,0,4,0.0,0,4,False,False,False,False,"1[status=5.0,P=225.36,WS=3.89] 、 2[status=5.0,P=380.3,WS=4.32] 、 3[status=5.0,P=542.92,WS=4.61] 、 4[status=5.0,P=453.29,WS=4.4] 、 5[status=5.0,P=326.52,WS=4.05] 、 6[status=5.0,P=517.31,WS=4.57] 、 7[status=5.0,P=472.5,WS=4.57] 、 8[status=5.0,P=580.06,WS=4.88] 、 9[status=5.0,P=468.66,WS=4.48] 、 10[status=5.0,P=476.34,WS=4.47] 、 11[status=5.0,P=654.33,WS=5.04] 、 12[status=5.0,P=586.46,WS=4.77] 、 13[status=5.0,P=711.95,WS=5.19] 、 14[status=5.0,P=460.97,WS=4.44] 、 15[status=5.0,P=605.67,WS=4.92] 、 16[status=5.0,P=480.18,WS=4.54] 、 17[status=5.0,P=686.34,WS=5.2] 、 18[status=5.0,P=510.91,WS=4.8] 、 19[status=5.0,P=355.97,WS=4.1] 、 20[status=5.0,P=361.1,WS=4.24] 、 21[status=5.0,P=411.03,WS=4.27] 、 22[status=5.0,P=303.47,WS=4.0] 、 23[status=5.0,P=472.5,WS=4.41] 、 24[status=5.0,P=294.51,WS=3.91] 、 25[status=5.0,P=623.59,WS=4.93] 、 26[status=5.0,P=384.14,WS=4.32] 、 27[status=5.0,P=428.96,WS=4.37] 、 28[status=5.0,P=372.62,WS=4.19] 、 29[status=5.0,P=344.45,WS=4.25] 、 30[status=5.0,P=276.58,WS=3.77] 、 31[status=5.0,P=475.06,WS=4.54] 、 32[status=5.0,P=452.01,WS=4.4] 、 33[status=5.0,P=540.36,WS=4.67] 、 34[status=5.0,P=478.9,WS=4.5] 、 35[status=5.0,P=306.03,WS=3.89] 、 36[status=5.0,P=480.18,WS=4.57] 、 37[status=5.0,P=585.18,WS=4.85] 、 38[status=5.0,P=469.94,WS=4.5]"
