字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,0.0,2023-10-08 12:42:00,2023-10-08 12:54:00,13
ACTIVE_POWER_STATION,0.0,2023-10-08 13:04:00,2023-10-08 13:07:00,4
ACTIVE_POWER_STATION,0.0,2023-10-08 13:15:00,2023-10-08 13:34:00,20
ACTIVE_POWER_STATION,0.0,2023-10-08 15:07:00,2023-10-08 15:18:00,12
ACTIVE_POWER_STATION,0.0,2023-10-10 23:31:00,2023-10-10 23:34:00,4
ACTIVE_POWER_STATION,0.0,2023-10-11 03:43:00,2023-10-11 03:55:00,13
ACTIVE_POWER_STATION,0.0,2023-10-11 03:57:00,2023-10-11 04:02:00,6
ACTIVE_POWER_STATION,0.0,2023-10-11 09:11:00,2023-10-11 09:15:00,5
ACTIVE_POWER_STATION,0.0,2023-10-11 09:17:00,2023-10-11 09:27:00,11
ACTIVE_POWER_STATION,0.0,2023-10-11 09:33:00,2023-10-11 09:50:00,18
ACTIVE_POWER_STATION,0.0,2023-10-11 09:52:00,2023-10-11 10:00:00,9
ACTIVE_POWER_STATION,0.0,2023-10-11 10:21:00,2023-10-11 10:47:00,27
ACTIVE_POWER_STATION,0.0,2023-10-11 10:52:00,2023-10-11 10:56:00,5
ACTIVE_POWER_STATION,0.0,2023-10-11 11:09:00,2023-10-11 11:18:00,10
ACTIVE_POWER_STATION,0.0,2023-10-11 13:04:00,2023-10-11 13:19:00,16
ACTIVE_POWER_STATION,0.0,2023-10-11 13:24:00,2023-10-11 13:31:00,8
ACTIVE_POWER_STATION,0.0,2023-10-11 13:45:00,2023-10-11 13:48:00,4
ACTIVE_POWER_STATION,0.0,2023-10-11 13:53:00,2023-10-11 14:01:00,9
ACTIVE_POWER_STATION,0.0,2023-10-12 15:18:00,2023-10-12 15:24:00,7
ACTIVE_POWER_STATION,0.0,2023-10-12 15:45:00,2023-10-12 15:50:00,6
ACTIVE_POWER_STATION,0.0,2023-10-12 15:59:00,2023-10-12 16:02:00,4
ACTIVE_POWER_STATION,0.0,2023-10-12 17:18:00,2023-10-12 17:23:00,6
ACTIVE_POWER_STATION,0.0,2023-10-12 17:47:00,2023-10-12 17:51:00,5
ACTIVE_POWER_STATION,0.0,2023-10-12 17:55:00,2023-10-12 18:00:00,6
ACTIVE_POWER_STATION,0.0,2023-10-12 18:02:00,2023-10-12 18:07:00,6
ACTIVE_POWER_STATION,0.0,2023-10-12 18:22:00,2023-10-12 18:28:00,7
ACTIVE_POWER_STATION,0.0,2023-10-12 22:51:00,2023-10-12 22:56:00,6
ACTIVE_POWER_STATION,0.0,2023-10-13 02:17:00,2023-10-13 02:24:00,8
ACTIVE_POWER_STATION,0.0,2023-10-13 02:26:00,2023-10-13 02:31:00,6
ACTIVE_POWER_STATION,0.0,2023-10-13 06:41:00,2023-10-13 06:44:00,4
ACTIVE_POWER_STATION,0.0,2023-10-13 09:59:00,2023-10-13 10:04:00,6
ACTIVE_POWER_STATION,0.0,2023-10-13 10:09:00,2023-10-13 10:12:00,4
