字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,372.43842,2024-01-14 04:42:00,2024-01-14 04:46:00,5
ACTIVE_POWER_STATION,372.57806,2024-01-14 04:54:00,2024-01-14 04:58:00,5
ACTIVE_POWER_STATION,368.63867,2024-01-14 05:00:00,2024-01-14 05:05:00,6
ACTIVE_POWER_STATION,368.73755,2024-01-14 05:12:00,2024-01-14 05:17:00,6
ACTIVE_POWER_STATION,368.73438,2024-01-14 05:18:00,2024-01-14 05:22:00,5
ACTIVE_POWER_STATION,364.90045,2024-01-14 05:36:00,2024-01-14 05:39:00,4
ACTIVE_POWER_STATION,370.7519,2024-01-14 17:43:00,2024-01-14 17:47:00,5
ACTIVE_POWER_STATION,370.62845,2024-01-14 17:54:00,2024-01-14 17:58:00,5
ACTIVE_POWER_STATION,370.62375,2024-01-14 18:02:00,2024-01-14 18:05:00,4
ACTIVE_POWER_STATION,370.80673,2024-01-14 18:06:00,2024-01-14 18:11:00,6
ACTIVE_POWER_STATION,370.64093,2024-01-14 18:20:00,2024-01-14 18:23:00,4
ACTIVE_POWER_STATION,370.74097,2024-01-14 18:48:00,2024-01-14 18:51:00,4
ACTIVE_POWER_STATION,370.81958,2024-01-14 20:00:00,2024-01-14 20:05:00,6
ACTIVE_POWER_STATION,370.67505,2024-01-14 20:56:00,2024-01-14 21:00:00,5
ACTIVE_POWER_STATION,370.58542,2024-01-14 21:03:00,2024-01-14 21:06:00,4
ACTIVE_POWER_STATION,370.73975,2024-01-14 21:07:00,2024-01-14 21:10:00,4
ACTIVE_POWER_STATION,370.6244,2024-01-14 21:18:00,2024-01-14 21:24:00,7
ACTIVE_POWER_STATION,370.5083,2024-01-14 22:36:00,2024-01-14 22:39:00,4
ACTIVE_POWER_STATION,369.02856,2024-01-20 09:15:00,2024-01-20 09:19:00,5
ACTIVE_POWER_STATION,369.07654,2024-01-20 09:45:00,2024-01-20 09:50:00,6
ACTIVE_POWER_STATION,369.1894,2024-01-20 09:52:00,2024-01-20 09:56:00,5
ACTIVE_POWER_STATION,364.932,2024-01-20 14:03:00,2024-01-20 14:08:00,6
ACTIVE_POWER_STATION,364.9193,2024-01-20 14:41:00,2024-01-20 14:44:00,4
ACTIVE_POWER_STATION,364.9535,2024-01-20 14:45:00,2024-01-20 14:48:00,4
ACTIVE_POWER_STATION,364.7945,2024-01-20 16:22:00,2024-01-20 16:25:00,4
ACTIVE_POWER_STATION,364.63745,2024-01-20 19:10:00,2024-01-20 19:14:00,5
ACTIVE_POWER_STATION,366.50394,2024-01-20 21:17:00,2024-01-20 21:20:00,4
ACTIVE_POWER_STATION,362.77893,2024-01-21 12:10:00,2024-01-21 12:13:00,4
ACTIVE_POWER_STATION,366.86963,2024-01-21 12:46:00,2024-01-21 12:51:00,6
ACTIVE_POWER_STATION,366.70404,2024-01-21 13:34:00,2024-01-21 13:39:00,6
ACTIVE_POWER_STATION,365.66965,2024-01-21 14:52:00,2024-01-21 14:57:00,6
ACTIVE_POWER_STATION,366.70135,2024-01-21 15:10:00,2024-01-21 15:14:00,5
ACTIVE_POWER_STATION,366.58978,2024-01-21 15:28:00,2024-01-21 15:31:00,4
ACTIVE_POWER_STATION,366.6562,2024-01-21 15:41:00,2024-01-21 15:45:00,5
ACTIVE_POWER_STATION,366.81824,2024-01-21 15:59:00,2024-01-21 16:03:00,5
ACTIVE_POWER_STATION,366.6754,2024-01-21 16:22:00,2024-01-21 16:26:00,5
ACTIVE_POWER_STATION,366.71185,2024-01-21 18:23:00,2024-01-21 18:26:00,4
ACTIVE_POWER_STATION,362.72156,2024-01-22 00:10:00,2024-01-22 00:14:00,5
ACTIVE_POWER_STATION,0.0,2024-01-26 01:17:00,2024-01-26 01:22:00,6
ACTIVE_POWER_STATION,0.0,2024-01-26 14:54:00,2024-01-26 15:00:00,7
ACTIVE_POWER_STATION,0.0,2024-01-26 17:03:00,2024-01-26 17:06:00,4
ACTIVE_POWER_STATION,0.0,2024-01-27 02:16:00,2024-01-27 02:28:00,13
ACTIVE_POWER_STATION,0.0,2024-01-27 10:39:00,2024-01-27 10:42:00,4
ACTIVE_POWER_STATION,0.0,2024-01-27 15:52:00,2024-01-27 16:04:00,13
ACTIVE_POWER_STATION,0.0,2024-01-28 03:47:00,2024-01-28 03:53:00,7
ACTIVE_POWER_STATION,0.0,2024-01-28 07:01:00,2024-01-28 07:05:00,5
ACTIVE_POWER_STATION,0.0,2024-01-28 07:16:00,2024-01-28 07:24:00,9
ACTIVE_POWER_STATION,0.0,2024-01-28 07:26:00,2024-01-28 07:30:00,5
ACTIVE_POWER_STATION,0.0,2024-01-28 07:33:00,2024-01-28 07:47:00,15
ACTIVE_POWER_STATION,0.0,2024-01-28 08:49:00,2024-01-28 08:53:00,5
ACTIVE_POWER_STATION,0.0,2024-01-28 08:55:00,2024-01-28 08:58:00,4
ACTIVE_POWER_STATION,0.0,2024-01-29 10:01:00,2024-01-29 10:06:00,6
ACTIVE_POWER_STATION,379.93268,2024-02-01 00:45:00,2024-02-01 00:50:00,6
ACTIVE_POWER_STATION,380.08252,2024-02-01 00:51:00,2024-02-01 00:56:00,6
ACTIVE_POWER_STATION,380.23386,2024-02-01 00:57:00,2024-02-01 01:00:00,4
ACTIVE_POWER_STATION,372.01453,2024-02-01 01:39:00,2024-02-01 01:44:00,6
ACTIVE_POWER_STATION,372.02228,2024-02-01 01:58:00,2024-02-01 02:02:00,5
ACTIVE_POWER_STATION,371.9934,2024-02-01 02:09:00,2024-02-01 02:14:00,6
ACTIVE_POWER_STATION,371.8377,2024-02-01 02:21:00,2024-02-01 02:24:00,4
ACTIVE_POWER_STATION,371.9352,2024-02-01 02:45:00,2024-02-01 02:50:00,6
ACTIVE_POWER_STATION,385.60284,2024-02-01 17:53:00,2024-02-01 17:56:00,4
ACTIVE_POWER_STATION,385.77045,2024-02-01 18:33:00,2024-02-01 18:36:00,4
ACTIVE_POWER_STATION,385.51855,2024-02-01 18:40:00,2024-02-01 18:43:00,4
ACTIVE_POWER_STATION,383.61346,2024-02-01 19:39:00,2024-02-01 19:43:00,5
ACTIVE_POWER_STATION,383.6267,2024-02-01 20:17:00,2024-02-01 20:20:00,4
ACTIVE_POWER_STATION,383.60535,2024-02-01 21:22:00,2024-02-01 21:25:00,4
ACTIVE_POWER_STATION,376.04837,2024-02-04 19:00:00,2024-02-04 19:03:00,4
ACTIVE_POWER_STATION,0.0,2024-02-09 14:12:00,2024-02-09 14:18:00,7
ACTIVE_POWER_STATION,0.0,2024-02-09 14:23:00,2024-02-09 14:26:00,4
ACTIVE_POWER_STATION,0.0,2024-02-09 14:29:00,2024-02-09 14:34:00,6
ACTIVE_POWER_STATION,0.0,2024-02-11 14:05:00,2024-02-11 14:09:00,5
ACTIVE_POWER_STATION,0.0,2024-02-11 20:41:00,2024-02-11 20:46:00,6
ACTIVE_POWER_STATION,360.2973,2024-02-12 18:41:00,2024-02-12 18:44:00,4
ACTIVE_POWER_STATION,360.12527,2024-02-12 19:39:00,2024-02-12 19:43:00,5
ACTIVE_POWER_STATION,356.09607,2024-02-13 07:57:00,2024-02-13 08:02:00,6
ACTIVE_POWER_STATION,356.12787,2024-02-13 08:23:00,2024-02-13 08:26:00,4
ACTIVE_POWER_STATION,360.12207,2024-02-13 12:39:00,2024-02-13 12:43:00,5
ACTIVE_POWER_STATION,360.2202,2024-02-13 14:16:00,2024-02-13 14:19:00,4
ACTIVE_POWER_STATION,360.09595,2024-02-13 15:27:00,2024-02-13 15:30:00,4
ACTIVE_POWER_STATION,360.11566,2024-02-13 16:35:00,2024-02-13 16:38:00,4
ACTIVE_POWER_STATION,360.0329,2024-02-13 16:39:00,2024-02-13 16:42:00,4
ACTIVE_POWER_STATION,359.9479,2024-02-13 17:09:00,2024-02-13 17:13:00,5
ACTIVE_POWER_STATION,360.0329,2024-02-13 17:29:00,2024-02-13 17:32:00,4
ACTIVE_POWER_STATION,352.173,2024-02-13 19:11:00,2024-02-13 19:14:00,4
ACTIVE_POWER_STATION,356.09094,2024-02-13 20:41:00,2024-02-13 20:44:00,4
ACTIVE_POWER_STATION,355.86377,2024-02-13 20:52:00,2024-02-13 20:56:00,5
ACTIVE_POWER_STATION,360.08685,2024-02-14 00:57:00,2024-02-14 01:02:00,6
ACTIVE_POWER_STATION,360.00577,2024-02-14 01:03:00,2024-02-14 01:06:00,4
ACTIVE_POWER_STATION,0.0,2024-02-14 11:27:00,2024-02-14 11:30:00,4
ACTIVE_POWER_STATION,352.13354,2024-02-15 16:36:00,2024-02-15 16:39:00,4
ACTIVE_POWER_STATION,0.0,2024-02-16 17:57:00,2024-02-16 18:01:00,5
ACTIVE_POWER_STATION,342.41223,2024-02-17 15:29:00,2024-02-17 15:34:00,6
ACTIVE_POWER_STATION,346.3215,2024-02-17 22:13:00,2024-02-17 22:16:00,4
ACTIVE_POWER_STATION,346.2682,2024-02-18 07:29:00,2024-02-18 07:32:00,4
ACTIVE_POWER_STATION,346.2322,2024-02-18 10:54:00,2024-02-18 10:58:00,5
ACTIVE_POWER_STATION,346.30438,2024-02-18 11:42:00,2024-02-18 11:45:00,4
ACTIVE_POWER_STATION,346.48712,2024-02-18 19:24:00,2024-02-18 19:28:00,5
ACTIVE_POWER_STATION,346.2578,2024-02-18 19:49:00,2024-02-18 19:52:00,4
ACTIVE_POWER_STATION,346.21164,2024-02-18 20:11:00,2024-02-18 20:16:00,6
ACTIVE_POWER_STATION,346.02914,2024-02-18 20:17:00,2024-02-18 20:22:00,6
ACTIVE_POWER_STATION,345.95728,2024-02-18 20:37:00,2024-02-18 20:41:00,5
ACTIVE_POWER_STATION,346.07965,2024-02-18 22:00:00,2024-02-18 22:03:00,4
ACTIVE_POWER_STATION,346.1289,2024-02-18 23:00:00,2024-02-18 23:05:00,6
ACTIVE_POWER_STATION,345.9478,2024-02-18 23:06:00,2024-02-18 23:10:00,5
ACTIVE_POWER_STATION,346.08276,2024-02-18 23:18:00,2024-02-18 23:21:00,4
ACTIVE_POWER_STATION,340.37067,2024-02-19 16:54:00,2024-02-19 16:58:00,5
ACTIVE_POWER_STATION,344.31073,2024-02-19 21:13:00,2024-02-19 21:16:00,4
ACTIVE_POWER_STATION,344.36282,2024-02-20 00:54:00,2024-02-20 00:58:00,5
ACTIVE_POWER_STATION,342.44714,2024-02-20 09:38:00,2024-02-20 09:41:00,4
ACTIVE_POWER_STATION,81.364,2024-02-26 10:01:00,2024-02-26 10:04:00,4
