region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,124.0,126.0,1642,5,1637,-0.001874385124117417,0.5459088157413317,4.0468220510904915
high,126.0,128.0,1550,8,1542,0.009747914958485593,0.6023103265153169,4.4649264504580435
high,128.0,130.0,1479,8,1471,-0.01970428973814453,0.6319548972439626,4.684681653269495
high,130.0,132.0,1568,7,1561,-0.011274174655561131,0.6299621462106775,4.669909389859752
high,132.0,134.0,1499,10,1489,-0.011234244660565551,0.5629262538007369,4.172972319424862
high,134.0,136.0,1477,3,1474,-0.004850294326068205,0.6377114852963404,4.727355240501771
high,136.0,138.0,1456,7,1449,-0.0075221199628836555,0.6227243166165259,4.616255359078306
high,138.0,140.0,1505,6,1499,-0.018462721140590332,0.6768005772098862,5.017122678856886
high,140.0,142.0,1437,5,1432,-0.0069679167341054615,0.6644756248706458,4.9257578071660975
high,142.0,144.0,1386,7,1379,0.001579424039246824,0.6842015772015673,5.071986291795217
high,144.0,146.0,1303,7,1296,-0.01877194407189542,0.7192433801494404,5.331751177047802
high,146.0,148.0,1306,5,1301,0.0001521467745666527,0.7573651117713989,5.614347573561379
high,148.0,150.0,1260,5,1255,-0.005355339432826067,0.7815249474187,5.793444435214823
high,150.0,152.0,1217,1,1216,-0.032856230876080694,0.7537429319301641,5.587496354398306
high,152.0,154.0,1254,4,1250,-0.014579439858273258,0.7754891374887674,5.748700976204232
high,154.0,156.0,1204,3,1201,-0.014102698907523248,0.8137314887292564,6.032191525949977
high,156.0,158.0,1123,3,1120,0.0031460676521462005,0.8410157141866375,6.234449489265543
high,158.0,160.0,1212,5,1207,-0.009833761666520058,0.8938664673099463,6.6262321221686316
high,160.0,162.0,1193,3,1190,-0.02411620700424333,0.8688882127882094,6.441068321398996
high,162.0,164.0,1201,5,1196,0.0037663569042516443,0.8618778552383981,6.389100540882245
high,164.0,166.0,1190,1,1189,-0.0431649971324064,0.9298090159250259,6.892674235052216
high,166.0,168.0,1181,5,1176,0.020282058718184004,0.8855097764214932,6.564283972612529
high,168.0,170.0,1181,7,1174,-0.019253002768286898,0.941818234466715,6.981698572101758
high,170.0,172.0,1139,0,1139,-0.007672201336690776,0.9328889063763635,6.915505462967983
high,172.0,174.0,1118,4,1114,-0.016468751538793125,0.9560440881916987,7.087154825765062
high,174.0,176.0,1100,3,1097,0.024021095207714893,0.9197335713264465,6.817984964242948
high,176.0,178.0,1123,0,1123,-0.00809236736245289,0.9456074288589997,7.009787870131765
high,178.0,180.0,994,4,990,-0.0007715987762932919,1.025167708387738,7.599568222278301
high,180.0,182.0,1084,3,1081,0.0033233469965767704,0.9698154276131201,7.189241764896059
high,182.0,184.0,993,1,992,-0.033899646694808716,1.0995178652646471,8.150725935206829
high,184.0,186.0,1035,0,1035,0.02650965884377321,1.0175295931450163,7.542946873984006
high,186.0,188.0,1011,1,1010,-0.03669134979164035,1.175499550231402,8.713978165865383
high,188.0,190.0,994,1,993,0.009820090634106382,1.0298010868800076,7.633915457041496
high,190.0,192.0,1006,1,1005,-0.02843722353860434,1.1286492389859242,8.366676808602655
high,192.0,194.0,1012,1,1011,0.013926487172816415,1.1436960714526063,8.47821897767817
high,194.0,196.0,968,4,964,-0.06122309316823982,1.1781702417330404,8.733776001967028
high,196.0,198.0,1017,1,1016,0.027253439253802192,1.144165464908582,8.481698591367318
high,198.0,200.0,1095,5,1090,-0.03980757469197549,1.1279201743711695,8.36127225261348
high,200.0,202.0,970,3,967,-0.016781532454948067,1.1501369341866883,8.52596509312592
high,202.0,204.0,1044,0,1044,0.02272423882221819,1.225796175843878,9.086827051530667
high,204.0,206.0,1027,0,1027,-0.047248837144878486,1.2684402502384806,9.402947575017857
high,206.0,208.0,1025,1,1024,0.004448849456677451,1.330410004309135,9.862329361943617
high,208.0,210.0,1172,3,1169,-0.009781956014019322,1.2456131994789805,9.233730647737682
high,210.0,212.0,1164,2,1162,0.015653143511979106,1.3473662893198695,9.98802630272819
high,212.0,214.0,1187,2,1185,-0.0238632914760597,1.2638799318511378,9.369141934812484
high,214.0,216.0,1150,1,1149,-0.01474487170908656,1.242144955471494,9.208020554910185
high,216.0,218.0,1181,0,1181,0.03781496236432069,1.2943140184507653,9.594749818775522
high,218.0,220.0,1156,2,1154,-0.03360539790341299,1.286502808999412,9.53684532311264
high,220.0,222.0,1190,0,1190,0.0017451747894163816,1.3231112703849623,9.808223847363726
high,222.0,224.0,1221,0,1221,-0.008583971132483548,1.3682855292806515,10.14310062855747
high,224.0,226.0,1299,1,1298,-0.0314351110830664,1.2509728076797284,9.273461423329826
high,226.0,228.0,1163,1,1162,0.02382335737448038,1.1405838618268493,8.455148167722434
high,228.0,230.0,1212,1,1211,-0.0031953826479504954,1.1931779281413535,8.845027981311853
high,230.0,232.0,1277,1,1276,0.017631176122426595,1.2514031241770187,9.276651359524239
high,232.0,234.0,1198,2,1196,-0.0018928287777102426,1.2718322593973488,9.428092538912546
high,234.0,236.0,1189,0,1189,-0.022933379425388978,1.2871683486369747,9.541778968445893
high,236.0,238.0,1220,0,1220,-0.01033522837599854,1.32468864671569,9.81991693810341
high,238.0,240.0,1178,1,1177,-0.016813463518924543,1.243060318001163,9.21480613734262
high,240.0,242.0,1345,0,1345,-0.019589014848213182,1.2334005348009196,9.143198164479216
high,242.0,244.0,1437,1,1436,0.005632341742138891,1.1633790105126653,8.624128604930387
