P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,region,bin_source,sigma_local,sigma_sample_n,var_local,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,interp_order
4.5,4.6000000000000005,4.5489354,2.6669480000000005,301,1,0.1,20,low,low_lookup,0.5309309563594964,301,0.28188768042080947,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,40
4.6000000000000005,4.7,4.655749650000001,2.6020700499999987,314,1,0.1,20,low,low_lookup,0.4778394658705333,314,0.22833055514343653,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,41
4.7,4.800000000000001,4.747515,2.608378,313,1,0.1,20,low,low_lookup,0.4898776889923939,313,0.23998015017252863,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,42
4.800000000000001,4.9,4.85117335,2.5908232499999997,316,1,0.1,20,low,low_lookup,0.5051220575883708,316,0.2551482930623094,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,43
4.9,5.0,4.9487082000000004,2.6269983999999997,300,1,0.1,20,low,low_lookup,0.5117535675601179,300,0.2618917139105082,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,44
5.0,5.1000000000000005,5.0512426,2.5805082500000016,334,1,0.1,20,low,low_lookup,0.5292672810871722,334,0.2801238548294078,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,45
5.1000000000000005,5.2,5.1508136,2.561523000000001,305,1,0.1,20,low,low_lookup,0.5012061804051303,305,0.2512076352763,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,46
5.2,5.300000000000001,5.2492695,2.6354587,295,1,0.1,20,low,low_lookup,0.48748316649750034,295,0.23763983761842963,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,47
5.300000000000001,5.4,5.351615300000001,2.4948357499999996,296,1,0.1,20,low,low_lookup,0.5393861633623261,296,0.29093743322673,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,48
5.4,5.5,5.453198,2.5557250000000007,271,1,0.1,20,low,low_lookup,0.5452533862762482,271,0.29730125524571555,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,49
5.5,5.6000000000000005,5.548029,2.4949660000000007,289,1,0.1,20,low,low_lookup,0.5167408976408534,289,0.26702115529467496,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,50
5.6000000000000005,5.7,5.65215675,2.5738212999999996,282,1,0.1,20,low,low_lookup,0.5363430298986499,282,0.28766384572086406,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,51
5.7,5.800000000000001,5.7458425,2.5546549999999995,301,1,0.1,20,low,low_lookup,0.5276119884205974,302,0.2783744103251366,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,52
5.800000000000001,5.9,5.855293,2.5030434500000003,280,1,0.1,20,low,low_lookup,0.4838170035231842,280,0.2340788928981528,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,53
5.9,6.0,5.9486604,2.516382599999999,289,1,0.1,20,low,low_lookup,0.49743083622225315,289,0.24743743682477004,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,54
6.0,6.1000000000000005,6.0509434,2.4567837000000035,289,1,0.1,20,low,low_lookup,0.5031393455293648,290,0.25314920101971755,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,55
6.1000000000000005,6.2,6.1500255,2.4116193500000023,282,1,0.1,20,low,low_lookup,0.5470096639142689,285,0.2992195724156014,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,56
6.2,6.300000000000001,6.2565574999999995,2.457589999999999,318,1,0.1,20,low,low_lookup,0.5302973331720345,321,0.2812152615693718,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,57
6.300000000000001,6.4,6.3516785,2.4415471500000003,310,1,0.1,20,low,low_lookup,0.5354741801487248,312,0.286732597605949,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,58
6.4,6.5,6.4502885,2.426528150000002,258,1,0.1,20,low,low_lookup,0.4933096509109928,262,0.2433544116819256,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,59
