region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,8.3,8.4,329,0,329,-1.0640255005522903e-05,0.37121701127301465,2.7518317045668574
low,8.4,8.5,330,0,330,-0.0070060466450305725,0.3449103116318766,2.5568201401271007
low,8.5,8.6,319,0,319,0.015551780397938586,0.39943799692949655,2.9610338712383575
low,8.6,8.700000000000001,312,0,312,-0.012984549691281044,0.38573524617798527,2.8594553799174043
low,8.700000000000001,8.8,323,0,323,0.01574682438128372,0.4125635837140935,3.058333846072575
low,8.8,8.9,335,0,335,-0.005725847815722496,0.42571704663688736,3.155840466719246
low,8.9,9.0,303,0,303,0.018194588479262475,0.35356290227509746,2.6209617945652974
low,9.0,9.1,318,0,318,-0.015452325687630886,0.32378102845081935,2.400188763905924
low,9.1,9.200000000000001,334,0,334,0.00571482171557447,0.41499055598058465,3.076324991484074
low,9.200000000000001,9.3,314,0,314,-0.007881400322149235,0.4253451511101629,3.1530836051796376
low,9.3,9.4,314,0,314,0.0008709621747251539,0.39121417235714495,2.9000706596835153
low,9.4,9.5,301,0,301,0.00670621463654042,0.38645659155206147,2.8648027131754317
low,9.5,9.600000000000001,310,0,310,-0.006730189104749762,0.3838779593581203,2.8456873127217457
low,9.600000000000001,9.700000000000001,320,0,320,-0.005296542678254301,0.4285833946339386,3.1770887044213865
low,9.700000000000001,9.8,329,0,329,0.0019055760162598467,0.3898356472974891,2.8898516534162866
low,9.8,9.9,320,0,320,-0.031365684793317916,0.3988624135961176,2.9567670719880197
low,9.9,10.0,340,0,340,0.00744094088033842,0.4279090577917919,3.1720898454105533
high,10.0,12.0,5773,0,5773,-0.02803001473905553,0.3669359541827708,2.72009622835688
high,12.0,14.0,5374,2,5372,-0.0017352355167896683,0.33863143705524446,2.510274842890527
high,14.0,16.0,4871,4,4867,-0.0031344017861265616,0.31445315245974426,2.331041219184084
high,16.0,18.0,4278,6,4272,0.00012235949734296092,0.3074775156793099,2.2793308237307244
high,18.0,20.0,4284,12,4272,-0.004259920043792831,0.3055163633801026,2.2647928017367
high,20.0,22.0,4203,31,4172,-0.002739244038661992,0.29932006491011154,2.218859641178657
high,22.0,24.0,3888,19,3869,0.0009438412540957453,0.29046562171356094,2.1532216537626274
high,24.0,26.0,4075,10,4065,-0.00014427432930630424,0.284841753995448,2.111531922368256
