开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2024-01-14 02:41:00,2024-01-14 02:46:00,station_active_power_repeat,ACTIVE_POWER_STATION,287.00516,6.0
2024-01-14 03:17:00,2024-01-14 03:21:00,station_active_power_repeat,ACTIVE_POWER_STATION,287.45377,5.0
2024-01-18 14:32:00,2024-01-18 14:35:00,station_active_power_repeat,ACTIVE_POWER_STATION,283.31158,4.0
2024-02-12 20:18:00,2024-02-12 20:21:00,station_active_power_repeat,ACTIVE_POWER_STATION,217.72952,4.0
2024-02-26 10:01:00,2024-02-26 10:04:00,station_active_power_repeat,ACTIVE_POWER_STATION,91.00392,4.0
2024-02-26 10:13:00,2024-02-26 10:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,83.5399,4.0
2024-02-28 10:54:00,2024-02-28 10:57:00,station_active_power_repeat,ACTIVE_POWER_STATION,85.22584,4.0
2024-02-29 13:59:00,2024-02-29 14:03:00,station_active_power_repeat,ACTIVE_POWER_STATION,271.47037,5.0
2024-03-04 10:38:00,2024-03-04 10:42:00,station_active_power_repeat,ACTIVE_POWER_STATION,281.5054,5.0
2024-03-29 15:28:00,2024-03-29 15:31:00,station_active_power_repeat,ACTIVE_POWER_STATION,35.038277,4.0
2024-03-30 00:42:00,2024-03-30 00:45:00,station_active_power_repeat,ACTIVE_POWER_STATION,282.76724,4.0
2024-03-30 01:18:00,2024-03-30 01:21:00,station_active_power_repeat,ACTIVE_POWER_STATION,282.921,4.0
2024-04-09 01:16:00,2024-04-09 01:30:00,station_active_power_repeat,ACTIVE_POWER_STATION,125.080795,15.0
2024-04-10 12:13:00,2024-04-10 12:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,60.45677,4.0
2024-04-14 14:50:00,2024-04-14 15:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,287.2376,25.0
2024-04-14 15:15:00,2024-04-14 15:18:00,station_active_power_repeat,ACTIVE_POWER_STATION,286.45737,4.0
2024-04-14 15:37:00,2024-04-14 15:40:00,station_active_power_repeat,ACTIVE_POWER_STATION,287.03198,4.0
2024-04-26 17:41:00,2024-04-26 17:48:00,station_active_power_repeat,ACTIVE_POWER_STATION,100.15015,8.0
2024-05-06 16:46:00,2024-05-06 16:50:00,station_active_power_repeat,ACTIVE_POWER_STATION,100.09329,4.0
2024-06-19 10:14:00,2024-06-19 10:20:00,station_active_power_repeat,ACTIVE_POWER_STATION,282.60992,7.0
2024-06-26 11:25:00,2024-06-26 11:32:00,station_active_power_repeat,ACTIVE_POWER_STATION,68.21749,7.0
2024-07-01 11:24:00,2024-07-01 12:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,27.607643,75.0
2024-07-01 12:46:00,2024-07-01 12:50:00,station_active_power_repeat,ACTIVE_POWER_STATION,80.9822,5.0
2024-07-01 13:08:00,2024-07-01 13:12:00,station_active_power_repeat,ACTIVE_POWER_STATION,60.219154,5.0
2024-07-01 13:13:00,2024-07-01 13:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,41.060543,4.0
2024-07-01 16:22:00,2024-07-01 16:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,42.668518,8.0
2024-07-02 17:05:00,2024-07-02 17:08:00,station_active_power_repeat,ACTIVE_POWER_STATION,272.42633,4.0
2024-07-02 17:46:00,2024-07-02 17:51:00,station_active_power_repeat,ACTIVE_POWER_STATION,275.43625,6.0
2024-07-05 11:14:00,2024-07-05 11:17:00,station_active_power_repeat,ACTIVE_POWER_STATION,45.58332,4.0
2024-07-05 16:49:00,2024-07-05 16:55:00,station_active_power_repeat,ACTIVE_POWER_STATION,180.54306,7.0
2024-07-05 18:54:00,2024-07-05 18:57:00,station_active_power_repeat,ACTIVE_POWER_STATION,272.50302,4.0
2024-07-11 15:10:00,2024-07-11 15:13:00,station_active_power_repeat,ACTIVE_POWER_STATION,6.111467,4.0
2024-07-12 11:18:00,2024-07-12 11:24:00,station_active_power_repeat,ACTIVE_POWER_STATION,56.80592,7.0
2024-07-25 10:43:00,2024-07-25 11:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,252.13347,28.0
2024-07-25 11:16:00,2024-07-25 11:30:00,station_active_power_repeat,ACTIVE_POWER_STATION,250.99219,15.0
2024-07-25 13:22:00,2024-07-25 13:25:00,station_active_power_repeat,ACTIVE_POWER_STATION,254.00713,4.0
2024-07-25 13:26:00,2024-07-25 14:04:00,station_active_power_repeat,ACTIVE_POWER_STATION,253.40717,39.0
2024-07-25 15:08:00,2024-07-25 15:38:00,station_active_power_repeat,ACTIVE_POWER_STATION,247.11876,28.0
2024-07-25 15:40:00,2024-07-25 15:54:00,station_active_power_repeat,ACTIVE_POWER_STATION,236.18549,15.0
2024-07-25 17:35:00,2024-07-25 17:47:00,station_active_power_repeat,ACTIVE_POWER_STATION,246.44351,6.0
