P_left,P_right,P_med,n,base_bin_count,bin_width,min_bin_samples,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q50,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,region,quantile_rule,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,quantile_basis,ultra_low_power_max_mw,ultra_low_power_loss_ratio_min
3.4000000000000004,3.5,3.44696845,312,1,0.1,20,1.6219105759999985,1.7179243400000013,1.8261650640000007,1.9180363320000013,1.936440755,1.9752630899999997,2.031294499999999,2.056867328000001,2.0898367019999995,2.1047687599999994,2.722999200000001,3.35641232,3.4208690419999983,3.4491252319999997,3.478768391,3.503209439999999,3.56025176,3.59389236,3.6981153659999992,3.8192694059999996,3.8568977809999985,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.5,3.6,3.550992,304,1,0.1,20,1.8099168960000012,1.8999452079999992,1.9502279969999996,2.0297685960000003,2.0894263250000003,2.0994834920000005,2.1146686250000006,2.1531709759999984,2.173261635,2.1990029199999985,2.7704587,3.33403061,3.3930104209999996,3.4529925279999993,3.4855057110000005,3.5071319140000012,3.546510029999999,3.601112216000002,3.6751680239999986,3.790537286,3.941619335,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.6,3.7,3.65008865,336,1,0.1,20,1.5727325599999995,1.715429960000001,1.8375515249999996,1.8560990399999988,1.9303065250000002,1.9654663399999999,2.044760300000001,2.0678268999999996,2.101070034999999,2.1152778,2.7648547999999993,3.3212919500000004,3.339921610000001,3.3542640000000015,3.373511180000001,3.409951630000001,3.4917250250000005,3.5644130799999973,3.676257765000002,3.734743639999999,3.953368239999998,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.7,3.8000000000000003,3.7501166,366,1,0.1,20,1.611215015,1.7413365499999987,1.8594726349999993,1.8792899999999997,1.923102375,1.9564678899999999,1.9973337599999998,2.0773470000000005,2.1238897050000003,2.1390617,2.7996151499999993,3.3557980999999986,3.3769108200000004,3.3984036800000004,3.4159603850000013,3.458297530000001,3.502101325000001,3.53638776,3.67536481,3.70393694,3.834547710000003,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.8000000000000003,3.9000000000000004,3.8508422500000004,306,1,0.1,20,1.5598721700000013,1.6224149199999993,1.693117545000001,1.7256631199999992,1.8265185000000002,1.8984523100000015,1.9145752200000001,1.9402839800000016,1.9789815549999996,2.022502799999999,2.6990694000000013,3.3325498499999995,3.3424652000000017,3.3645979199999987,3.3821966850000003,3.4233794500000005,3.4584829500000005,3.5076611200000016,3.6138139249999983,3.7159621799999982,3.8724002849999986,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
3.9000000000000004,4.0,3.951557,323,1,0.1,20,1.4679857299999999,1.6710539280000016,1.7697224659999997,1.8244767760000014,1.9070743000000008,1.9688691000000005,2.026295887999998,2.078260384,2.107085949999999,2.126564220000002,2.745530799999999,3.3183518399999996,3.348928038000001,3.3606410720000013,3.3933168719999993,3.4343389919999994,3.4557570100000006,3.464766903999998,3.5632480379999993,3.636537672,3.8512596199999973,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.0,4.1000000000000005,4.0517942,302,1,0.1,20,1.635932365000001,1.8050769599999994,1.8354555509999995,1.887900040000001,1.9203142600000003,1.9466520099999967,2.0318166700000004,2.0658938960000017,2.0811422250000007,2.098031309999999,2.6736093000000003,3.3398245000000015,3.351269528999999,3.407661852000001,3.421905946,3.471119374,3.481738299999997,3.5219486800000013,3.551284890000002,3.5721252879999996,3.793261650000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.1000000000000005,4.2,4.152754,333,1,0.1,20,1.7635944600000004,1.8276870960000005,1.8618859200000029,1.8962737400000003,1.9345716999999998,1.9615162000000017,1.981611451999999,2.0007350360000005,2.0417346000000007,2.0697071200000017,2.6780000000000017,3.3160224400000002,3.3311935919999995,3.3570268879999996,3.3942963359999996,3.4173639280000003,3.443396240000001,3.481907187999999,3.5092238399999984,3.5979394959999995,3.8593124000000008,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.2,4.3,4.2472925,321,1,0.1,20,1.6027904000000002,1.7144119599999985,1.785492399999999,1.8546249999999995,1.8769264000000012,1.9182225999999998,1.9524965400000012,2.019396,2.0423527600000004,2.0648859999999996,2.6870829999999994,3.2872949999999994,3.32282398,3.334783,3.350356879999999,3.3875252799999966,3.45432,3.531368199999999,3.618557639999998,3.710231220000001,3.8556434,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.3,4.4,4.3486876,303,1,0.1,20,1.5401621979999989,1.605706572000001,1.7080004160000009,1.757070648000001,1.82661776,1.8323410760000025,1.8712766300000012,1.9366131079999982,1.951116521999999,1.9944974600000005,2.6708415000000008,3.2037726799999997,3.2179846120000017,3.2522144720000012,3.300977928000002,3.3481176880000008,3.3868780599999986,3.4388236560000007,3.4523685580000008,3.490298199999999,3.617244650000001,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.4,4.5,4.451583,323,1,0.1,20,1.6628174179999995,1.761081672,1.8311939300000002,1.8891239,1.9211738,1.969800995999999,1.9986074640000007,2.023273336,2.0459806699999983,2.0885705000000017,2.674558,3.318142599999999,3.3456322599999972,3.3650210000000014,3.3725915800000004,3.3930756000000004,3.43233355,3.4770568440000003,3.511918066,3.5721283000000006,3.6380878200000017,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.5,4.6000000000000005,4.5489354,301,1,0.1,20,1.4881846999999988,1.5632069999999985,1.6700490000000014,1.6861062999999987,1.703060699999999,1.811331,1.8966676999999985,1.9677595999999982,1.9974444999999994,2.016032799999998,2.6669480000000005,3.4023879999999984,3.4247830000000006,3.447747999999998,3.490767,3.5292889999999995,3.560932499999999,3.6359365000000023,3.6679303999999986,3.704962,3.811576999999998,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.6000000000000005,4.7,4.655749650000001,314,1,0.1,20,1.5992307659999987,1.67049086,1.7043496970000005,1.7601246079999995,1.8149179700000007,1.8445894460000007,1.852623784000001,1.900747532000001,1.9431625899999987,1.9477002300000008,2.6020700499999987,3.1660884400000007,3.2137620240000015,3.250295271999999,3.313788556000002,3.361136440000002,3.375971769999999,3.443406879999999,3.5063343700000007,3.5919724759999996,3.7363369929999983,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.7,4.800000000000001,4.747515,313,1,0.1,20,1.4351643000000005,1.654816303999998,1.7569882479999992,1.7726230960000007,1.8057707999999981,1.8730231120000007,1.896682492,1.9476871080000024,1.9674838800000005,1.9926392599999991,2.608378,3.2107910600000005,3.2258333599999998,3.2409386320000015,3.3323493439999994,3.354864919999999,3.4192669799999997,3.4329109200000003,3.4768269159999994,3.542239023999999,3.7315528799999975,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.800000000000001,4.9,4.85117335,316,1,0.1,20,1.312000050000001,1.4484777100000004,1.5374393649999993,1.6160964800000026,1.7026832249999997,1.7910086000000016,1.8200068650000014,1.848674480000001,1.8704717000000004,1.8917028499999993,2.5908232499999997,3.2187072499999996,3.2491730350000028,3.2726548600000007,3.296343610000001,3.326191699999998,3.3524358000000025,3.372632220000001,3.3912283199999975,3.4299308800000015,3.6234864449999997,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
4.9,5.0,4.9486804,301,1,0.1,20,1.5072100000000015,1.5760549999999984,1.6412845000000011,1.7318799999999994,1.8036910000000015,1.8809337,1.9024909999999986,1.918870599999999,1.9567929999999993,1.992814000000001,2.6276984000000008,3.2991446,3.3258575000000006,3.342863999999997,3.3848730000000034,3.4329954999999988,3.4767279999999987,3.5589960000000005,3.6302347000000017,3.652414399999998,3.8724525000000005,low,empirical_from_hard_anomaly_removed_only,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,hard_anomaly_removed_only,3.0,0.99
