region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
low,low_lookup,9.4,6.2,6.300000000000001,6.2565574999999995,0.5302973331720345,321,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.300000000000001,6.4,6.3516785,0.5354741801487248,312,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.4,6.5,6.4502885,0.4933096509109928,262,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.5,6.6000000000000005,6.5471387,0.5469444855100407,270,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.6000000000000005,6.7,6.6484223,0.5282935749331183,291,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.7,6.800000000000001,6.747301,0.525891538392637,271,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.800000000000001,6.9,6.849227,0.5158271258143738,292,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,6.9,7.0,6.9431677,0.5130039477421717,276,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.0,7.1000000000000005,7.0464125,0.5655372046503442,325,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,7.1000000000000005,7.2,7.1499014,0.5491367169042904,293,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
