场站,阈值,分段类别,分段数,异常分段数,异常分段占比,覆盖分钟数,纳入统计分钟数,原异常分钟数,原异常分钟占纳入统计分钟比例,原异常程度总和,原平均异常程度_按异常分钟,原最大异常程度,原偏离程度总和,原平均偏离程度_按纳入统计分钟,原最大偏离程度
JMZSFD,0.27,重复正功率=0，且冻结风机数=0,91,3,0.03296703296703297,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.27,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.28,重复正功率>0分段,134,66,0.4925373134328358,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.28,重复正功率=0，且冻结风机数=0,91,2,0.02197802197802198,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.28,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.29,重复正功率>0分段,134,66,0.4925373134328358,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.29,重复正功率=0，且冻结风机数=0,91,2,0.02197802197802198,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.29,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.3,重复正功率>0分段,134,66,0.4925373134328358,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.3,重复正功率=0，且冻结风机数=0,91,2,0.02197802197802198,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.3,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.4,重复正功率>0分段,134,61,0.4552238805970149,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.4,重复正功率=0，且冻结风机数=0,91,1,0.01098901098901099,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.4,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.5,重复正功率>0分段,134,57,0.4253731343283582,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.5,重复正功率=0，且冻结风机数=0,91,0,0.0,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.5,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
