开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2024-01-14 02:36:00,2024-01-14 02:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.65985,6.0
2024-01-14 02:42:00,2024-01-14 02:47:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.6364,6.0
2024-01-14 02:54:00,2024-01-14 02:59:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.59247,6.0
2024-01-14 03:30:00,2024-01-14 03:35:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.6108,6.0
2024-01-14 03:36:00,2024-01-14 03:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.5619,6.0
2024-01-14 03:48:00,2024-01-14 03:51:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.4609,4.0
2024-01-14 03:54:00,2024-01-14 03:59:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.5171,6.0
2024-01-14 04:06:00,2024-01-14 04:09:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.3855,4.0
2024-01-14 04:12:00,2024-01-14 04:15:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.47598,4.0
2024-01-14 04:24:00,2024-01-14 04:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.5038,6.0
2024-01-14 04:30:00,2024-01-14 04:33:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.6524,4.0
2024-01-14 04:36:00,2024-01-14 04:40:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.54443,5.0
2024-01-14 04:42:00,2024-01-14 04:46:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.43842,5.0
2024-01-14 04:54:00,2024-01-14 04:58:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.57806,5.0
2024-01-14 05:00:00,2024-01-14 05:05:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.63867,6.0
2024-01-14 05:12:00,2024-01-14 05:17:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.73755,6.0
2024-01-14 05:18:00,2024-01-14 05:22:00,station_active_power_repeat,ACTIVE_POWER_STATION,368.73438,5.0
2024-01-14 05:36:00,2024-01-14 05:39:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.90045,4.0
2024-01-14 17:43:00,2024-01-14 17:47:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.7519,5.0
2024-01-14 17:54:00,2024-01-14 17:58:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.62845,5.0
2024-01-14 18:02:00,2024-01-14 18:05:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.62375,4.0
2024-01-14 18:06:00,2024-01-14 18:11:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.80673,6.0
2024-01-14 18:20:00,2024-01-14 18:23:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.64093,4.0
2024-01-14 18:48:00,2024-01-14 18:51:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.74097,4.0
2024-01-14 20:00:00,2024-01-14 20:05:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.81958,6.0
2024-01-14 20:56:00,2024-01-14 21:00:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.67505,5.0
2024-01-14 21:03:00,2024-01-14 21:06:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.58542,4.0
2024-01-14 21:07:00,2024-01-14 21:10:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.73975,4.0
2024-01-14 21:18:00,2024-01-14 21:24:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.6244,7.0
2024-01-14 22:36:00,2024-01-14 22:39:00,station_active_power_repeat,ACTIVE_POWER_STATION,370.5083,4.0
2024-01-20 09:15:00,2024-01-20 09:19:00,station_active_power_repeat,ACTIVE_POWER_STATION,369.02856,5.0
2024-01-20 09:45:00,2024-01-20 09:50:00,station_active_power_repeat,ACTIVE_POWER_STATION,369.07654,6.0
2024-01-20 09:52:00,2024-01-20 09:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,369.1894,5.0
2024-01-20 14:03:00,2024-01-20 14:08:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.932,6.0
2024-01-20 14:41:00,2024-01-20 14:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.9193,4.0
2024-01-20 14:45:00,2024-01-20 14:48:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.9535,4.0
2024-01-20 16:22:00,2024-01-20 16:25:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.7945,4.0
2024-01-20 19:10:00,2024-01-20 19:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.63745,5.0
2024-01-20 21:17:00,2024-01-20 21:20:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.50394,4.0
2024-01-21 12:10:00,2024-01-21 12:13:00,station_active_power_repeat,ACTIVE_POWER_STATION,362.77893,4.0
2024-01-21 12:46:00,2024-01-21 12:51:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.86963,6.0
2024-01-21 13:34:00,2024-01-21 13:39:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.70404,6.0
2024-01-21 14:52:00,2024-01-21 14:57:00,station_active_power_repeat,ACTIVE_POWER_STATION,365.66965,6.0
2024-01-21 15:10:00,2024-01-21 15:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.70135,5.0
2024-01-21 15:28:00,2024-01-21 15:31:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.58978,4.0
2024-01-21 15:41:00,2024-01-21 15:45:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.6562,5.0
2024-01-21 15:59:00,2024-01-21 16:03:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.81824,5.0
2024-01-21 16:22:00,2024-01-21 16:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.6754,5.0
2024-01-21 18:23:00,2024-01-21 18:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.71185,4.0
2024-01-22 00:10:00,2024-01-22 00:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,362.72156,5.0
2024-02-01 00:45:00,2024-02-01 00:50:00,station_active_power_repeat,ACTIVE_POWER_STATION,379.93268,6.0
2024-02-01 00:51:00,2024-02-01 00:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.08252,6.0
2024-02-01 00:57:00,2024-02-01 01:00:00,station_active_power_repeat,ACTIVE_POWER_STATION,380.23386,4.0
2024-02-01 01:39:00,2024-02-01 01:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.01453,6.0
2024-02-01 01:58:00,2024-02-01 02:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,372.02228,5.0
2024-02-01 02:09:00,2024-02-01 02:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,371.9934,6.0
2024-02-01 02:21:00,2024-02-01 02:24:00,station_active_power_repeat,ACTIVE_POWER_STATION,371.8377,4.0
2024-02-01 02:45:00,2024-02-01 02:50:00,station_active_power_repeat,ACTIVE_POWER_STATION,371.9352,6.0
2024-02-01 17:53:00,2024-02-01 17:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.60284,4.0
2024-02-01 18:33:00,2024-02-01 18:36:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.77045,4.0
2024-02-01 18:40:00,2024-02-01 18:43:00,station_active_power_repeat,ACTIVE_POWER_STATION,385.51855,4.0
2024-02-01 19:39:00,2024-02-01 19:43:00,station_active_power_repeat,ACTIVE_POWER_STATION,383.61346,5.0
2024-02-01 20:17:00,2024-02-01 20:20:00,station_active_power_repeat,ACTIVE_POWER_STATION,383.6267,4.0
2024-02-01 21:22:00,2024-02-01 21:25:00,station_active_power_repeat,ACTIVE_POWER_STATION,383.60535,4.0
2024-02-04 19:00:00,2024-02-04 19:03:00,station_active_power_repeat,ACTIVE_POWER_STATION,376.04837,4.0
2024-02-12 18:41:00,2024-02-12 18:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.2973,4.0
2024-02-12 19:39:00,2024-02-12 19:43:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.12527,5.0
2024-02-13 07:57:00,2024-02-13 08:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,356.09607,6.0
2024-02-13 08:23:00,2024-02-13 08:26:00,station_active_power_repeat,ACTIVE_POWER_STATION,356.12787,4.0
2024-02-13 12:39:00,2024-02-13 12:43:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.12207,5.0
2024-02-13 14:16:00,2024-02-13 14:19:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.2202,4.0
2024-02-13 15:27:00,2024-02-13 15:30:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.09595,4.0
2024-02-13 16:35:00,2024-02-13 16:38:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.11566,4.0
2024-02-13 16:39:00,2024-02-13 16:42:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.0329,4.0
2024-02-13 17:09:00,2024-02-13 17:13:00,station_active_power_repeat,ACTIVE_POWER_STATION,359.9479,5.0
2024-02-13 17:29:00,2024-02-13 17:32:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.0329,4.0
2024-02-13 19:11:00,2024-02-13 19:14:00,station_active_power_repeat,ACTIVE_POWER_STATION,352.173,4.0
2024-02-13 20:41:00,2024-02-13 20:44:00,station_active_power_repeat,ACTIVE_POWER_STATION,356.09094,4.0
2024-02-13 20:52:00,2024-02-13 20:56:00,station_active_power_repeat,ACTIVE_POWER_STATION,355.86377,5.0
2024-02-14 00:57:00,2024-02-14 01:02:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.08685,6.0
2024-02-14 01:03:00,2024-02-14 01:06:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.00577,4.0
2024-02-15 16:36:00,2024-02-15 16:39:00,station_active_power_repeat,ACTIVE_POWER_STATION,352.13354,4.0
2024-02-17 15:29:00,2024-02-17 15:34:00,station_active_power_repeat,ACTIVE_POWER_STATION,342.41223,6.0
2024-02-17 22:13:00,2024-02-17 22:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.3215,4.0
2024-02-18 07:29:00,2024-02-18 07:32:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.2682,4.0
2024-02-18 10:54:00,2024-02-18 10:58:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.2322,5.0
2024-02-18 11:42:00,2024-02-18 11:45:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.30438,4.0
