region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,2.6,2.7,232,0,232,0.0009265919935288469,0.26093379307190423,1.934302208042026
low,2.7,2.8000000000000003,192,0,192,-0.003111537815771115,0.26221583394212167,1.9438059770129479
low,2.8000000000000003,2.9000000000000004,227,0,227,-0.004082594653070704,0.2866747577393909,2.1251199791221045
low,2.9000000000000004,3.0,192,0,192,0.0003828989238818803,0.31018804143686696,2.2994239511714945
low,3.0,3.1,217,1,216,0.01132657777911339,0.2439896777791133,1.8086954813765668
low,3.1,3.2,210,1,209,-0.001146026472613526,0.2841046071470381,2.1060674527809935
low,3.2,3.3000000000000003,200,0,200,-0.006399047783281375,0.31331726903801926,2.3226209153788364
low,3.3000000000000003,3.4000000000000004,210,0,210,0.01681856533446302,0.3111371922583255,2.306460006210967
low,3.4000000000000004,3.5,238,0,238,-0.007225631943041044,0.31840089985126463,2.3603058705974247
low,3.5,3.6,204,1,203,-0.0009357356908636927,0.3024868376772365,2.242334927701354
low,3.6,3.7,202,0,202,0.006556502531934516,0.3258251934187304,2.4153421588130484
low,3.7,3.8000000000000003,203,0,203,-0.002996589464574484,0.31180439857596554,2.311406006643632
low,3.8000000000000003,3.9000000000000004,195,0,195,0.005939461245808353,0.34033428272233346,2.522898037820658
low,3.9000000000000004,4.0,222,0,222,-0.0021272356315107377,0.2979421685940391,2.208645295787612
low,4.0,4.1000000000000005,201,0,201,0.007383043149143287,0.30458066774170556,2.2578564899692632
high,4.0,8.0,7009,3,7006,0.05194968700128033,0.34483942846510063,2.5562946832117905
low,4.1000000000000005,4.2,198,0,198,-0.005107770735987893,0.32309583692346555,2.39510943911365
low,4.2,4.3,230,0,230,0.0012454650781608123,0.34683508235954785,2.571088465531328
low,4.3,4.4,205,0,205,-0.0013516945159017801,0.2965186979652086,2.1980931080160913
low,4.4,4.5,206,0,206,0.00011241564689634664,0.32965909030044993,2.4437628363972355
low,4.5,4.6000000000000005,172,0,172,0.0025320194544247165,0.3496661388961717,2.5920750876373204
low,4.6000000000000005,4.7,188,0,188,-0.013424857325676776,0.36703472018535344,2.7208283807340248
low,4.7,4.800000000000001,187,0,187,-0.015221248382273789,0.3253926885108469,2.412135999930908
low,4.800000000000001,4.9,181,0,181,0.0019857274017658355,0.3642783459372234,2.7003953784326367
low,4.9,5.0,170,0,170,0.021846409577696457,0.30591939089495757,2.2677804447043206
low,5.0,5.1000000000000005,176,0,176,-0.0055508925710399115,0.32997575021249426,2.44611023632522
low,5.1000000000000005,5.2,171,0,171,-0.005035221165675452,0.32413811140327997,2.4028358198325144
low,5.2,5.300000000000001,170,0,170,-0.007933355936428521,0.32713296618235277,2.425036678309781
low,5.300000000000001,5.4,183,0,183,0.005775368636515843,0.4056125258605703,3.0068056542044075
low,5.4,5.5,169,0,169,0.017921585027173226,0.3173936587728887,2.3528391924834238
low,5.5,5.6000000000000005,166,0,166,-0.014159722353211723,0.3117050313276044,2.3106693972315315
low,5.6000000000000005,5.7,177,0,177,0.014871228587569174,0.31817182212482287,2.358607717411312
low,5.7,5.800000000000001,171,0,171,-0.009087595901429601,0.40152568163767155,2.9765098779800594
