region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,186.0,188.0,964,5,959,-0.06204473516431608,0.5963803114228767,4.420967248577785
high,188.0,190.0,939,8,931,-0.009493043158419923,0.5616013825272792,4.16315104867472
high,190.0,192.0,909,10,899,-0.008919943093635307,0.5740296171753512,4.255281552120878
high,192.0,194.0,978,3,975,-0.029403758104745936,0.6238042671195323,4.624261032157093
high,194.0,196.0,1010,2,1008,-0.04384259000098911,0.7035879954984305,5.215697810629866
high,196.0,198.0,970,7,963,-0.029943210723200275,0.6882307742163922,5.101854729266115
high,198.0,200.0,998,2,996,-0.02920316708228876,0.6563191147132055,4.865293597368992
high,200.0,202.0,962,6,956,-0.002381578341005053,0.7255453088920902,5.378467374817064
high,202.0,204.0,944,5,939,-0.03951426267281888,0.6967740244336327,5.165185843126519
high,204.0,206.0,966,3,963,-0.030852629672011078,0.7863843283182967,5.829467025823534
high,206.0,208.0,903,2,901,-0.05073120010168619,0.720176244596995,5.338666501197524
high,208.0,210.0,933,1,932,-0.04350468673220842,0.725675164615728,5.379429995296391
high,210.0,212.0,893,5,888,-0.04583279379694272,0.74466356981105,5.520191043009312
high,212.0,214.0,908,3,905,-0.04508311969952494,0.7732672676579939,5.732230255148708
high,214.0,216.0,935,3,932,-0.043460780669121846,0.7720796654274995,5.723426559814053
high,216.0,218.0,889,3,886,-0.020513252496441314,0.8359353059275594,6.1967884228409975
high,218.0,220.0,881,3,878,-0.03284393252502937,0.8597947599144637,6.373658555245919
high,220.0,222.0,807,0,807,-0.1019672086786998,0.832714909800087,6.172915626348044
high,222.0,224.0,847,3,844,-0.01683613846155163,0.8368409128205347,6.203501686738624
high,224.0,226.0,808,4,804,-0.053908433333332395,0.8392156583455714,6.221105675315721
high,226.0,228.0,849,1,848,-0.031481866969017336,0.9070634658748258,6.724061472530083
high,228.0,230.0,769,3,766,-0.06235915543120907,0.930557845331951,6.8982253074457525
high,230.0,232.0,827,0,827,-0.04524651233785759,0.8404590384126256,6.230322851752793
